+----------------------------+----------------------------------------------------------+-----------+
|            name            |                          title                           | person_id |
+----------------------------+----------------------------------------------------------+-----------+
| Tom Cruise                 | A Few Good Men                                           | 129       |
| Jack Nicholson             | A Few Good Men                                           | 197       |
| Demi Moore                 | A Few Good Men                                           | 193       |
| Tom Hanks                  | Apollo 13                                                | 158       |
| Bill Paxton                | Apollo 13                                                | 200       |
| Gary Sinise                | Apollo 13                                                | 641       |
| Bob Hoskins                | Balto                                                    | 1364      |
| Bridget Fonda              | Balto                                                    | 403       |
| Jim Cummings               | Balto                                                    | 191906    |
| James Freedson-Jackson     | Cop Car                                                  | 6627667   |
| Hays Wellford              | Cop Car                                                  | 4881741   |
| Shea Whigham               | Cop Car                                                  | 924154    |
| Gary Oldman                | Criminal Law                                             | 198       |
| Tess Harper                | Criminal Law                                             | 2128      |
| Karen Young                | Criminal Law                                             | 949744    |
| Shabana Azmi               | Death Sentence                                           | 818       |
| Madhuri Dixit              | Death Sentence                                           | 2043      |
| Ayub Khan                  | Death Sentence                                           | 451183    |
| Shilpa Shirodkar           | Death Sentence                                           | 794364    |
| John Goodman               | Death Sentence                                           | 422       |
| Kelly Preston              | Death Sentence                                           | 593       |
| Garrett Hedlund            | Death Sentence                                           | 1330560   |
| Evan Rachel Wood           | Digging to China                                         | 939697    |
| Mary Stuart Masterson      | Digging to China                                         | 524       |
| Marian Seldes              | Digging to China                                         | 783033    |
| Steve Guttenberg           | Diner                                                    | 430       |
| Mickey Rourke              | Diner                                                    | 620       |
| Daniel Stern               | Diner                                                    | 827663    |
| Yûki Ashida                | Diner                                                    | 12166557  |
| Katsuki Bettô              | Diner                                                    | 12242222  |
| Tatsuya Fujiwara           | Diner                                                    | 297885    |
| Kanata Hongô               | Diner                                                    | 1959800   |
| Danny Abelson              | Drunk Stoned Brilliant Dead                              | 2581028   |
| Judd Apatow                | Drunk Stoned Brilliant Dead                              | 31976     |
| Henry Beard                | Drunk Stoned Brilliant Dead                              | 1088287   |
| Bill Gerber                | Eastwood Directs: The Untold Story                       | 314088    |
| John Calley                | Eastwood Directs: The Untold Story                       | 130492    |
| Kevin Costner              | Eastwood Directs: The Untold Story                       | 126       |
| Joel Cox                   | Eastwood Directs: The Untold Story                       | 185088    |
| Clint Eastwood             | Eastwood Directs: The Untold Story                       | 142       |
| Morgan Freeman             | Eastwood Directs: The Untold Story                       | 151       |
| Djimon Hounsou             | Elephant White                                           | 5023      |
| Markus Waldow              | Elephant White                                           | 6132568   |
